,,Notes,Status,Token_Id,Name,Description,Image,Season,Batch,Episode,Rarity,Genus,Faction,Status,Allegiance,Hair,Eyes,Mouth,Beard,Neck,HeadPiece,Glasses,Facial Accessory,Clothing,Equipment 1,Equipment 2,Weapon 1,Weapon 2,Skill 1,Skill 2,Background,
,,,,17,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Dark Blue Eyes,Droolinging,Brown Beard,Nugz,Cowboy Mac hat,None,Drool,None,None,None,None,None,Unknown,Unknown,Red,
,,,,18,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Black Eyes,Regular,None,Nugz,Brown Cowboy Hat,Black & Red Sunglasses,None,Green TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,19,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Brown Hair,Brown Eyes,Regular,None,Nugz,None,None,None,Black TurtleNeck,Teal Mech-Eye,None,None,None,Unknown,Unknown,White,
,,,,20,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Black Eyes,Regular,None,Nugz,None,None,Cigg,Black Hoodie,Yellow Mech-Eye,None,None,None,Unknown,Unknown,Green,
,,,,21,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Brown Hair,Black Eyes,Regular,Brown Beard,Nugz,None,Red Dot Eye-Patch,None,Blue TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,22,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,None,Brown Eyes,Gagged,Black Beard,Nugz,France Head-Band,Black Sunglasses,Ball-Gag,None,None,None,None,None,Unknown,Unknown,Blue,
,,,,23,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Fuzzy Grey Hair,Brown Eyes,Regular,None,Nugz,None,White & Blue Sunglasses,None,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,24,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Black Eyes,Drooling,None,Nugz,Black Beanie,Orange Round Sunglasses,Drool,None,None,None,None,None,Unknown,Unknown,Red,
,,,,25,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Brown Eyes,Regular,None,Nugz,Mac Hat,White & Blue Sunglasses,None,Blue TurtleNeck,None,None,None,None,Unknown,Unknown,Red,
,,,,26,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Black Eyes,Regular,Brown Beard,Nugz,Black Beanie,FAT VR Goggles,Green Vape,None,None,None,None,None,Unknown,Unknown,White,
,,,,27,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Grey Hair,Brown Eyes,Regular,None,Nugz,None,FAT VR Goggles,None,None,None,None,None,None,Unknown,Unknown,White,
,,,,28,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,None,Brown Eyes,Drooling,None,Nugz,Germany Head-Band,Black & Green Sunglasses,Drool,None,None,None,None,None,Unknown,Unknown,Blue,
,,,,29,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Dark Blue Eyes,Drooling,None,Nugz,Black Beanie,White & Pink Sunglasses,Drool,Blue TurtleNeck,None,None,None,None,Unknown,Unknown,White,
,,,,30,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,None,Third Eye,Drooling,None,Nugz,None,Black & Blue Sunglasses,Drool,Blue TurtleNeck,None,None,None,None,Unknown,Unknown,Green,
,,,,31,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Brown Eyes,Regular,Brown Beard,Nugz,Brown Cowboy Hat,Green Lazer Goggles,None,None,None,None,None,None,Unknown,Unknown,Green,
,,,,32,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Fuzzy Brown Hair,Brown Eyes,Regular,Black Beard,Nugz,None,White & Blue Sunglasses,Blue Vape,None,None,None,None,None,Unknown,Unknown,Blue,
,,,,33,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,None,Brown Eyes,Droolinging,Black Beard,Nugz,Rasta Head-Band,None,Drool,None,None,None,None,None,Unknown,Unknown,Yellow,
,,,,34,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,None,Brown Eyes,Regular,None,Nugz,Rasta Head-Band,Orange Round Sunglasses,Cigg,Green TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,35,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Blue Eyes,Drooling,Black Beard,Nugz,Grey Cap,Black Turtle Ninja Mask,Drool,None,None,None,None,None,Unknown,Unknown,Blue,
,,,,36,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Blue Eyes,Regular,Grey Beard,Nugz,Mac Hat,None,None,None,None,None,None,None,Unknown,Unknown,Blue,
,,,,37,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Fuzzy Grey Hair,White Eyes,Regular,None,Nugz,None,White & Green Sunglasses,None,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Green,
,,,,38,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Brown Eyes,Regular,None,Nugz,Blue Cap,Black & Blue Sunglasses,None,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,39,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,Brown Beard,Nugz,None,Red Round Sunglasses,Cigg,None,None,None,None,None,Unknown,Unknown,Green,
,,,,40,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,None,Nugz,Green Beanie,Black Sunglasses,None,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Red,
,,,,41,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,Brown Beard,Nugz,None,Red Round Sunglasses,None,Green TurtleNeck,None,None,None,None,Unknown,Unknown,Red,
,,,,42,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Black Eyes,Regular,None,Nugz,None,None,Pipe,None,None,None,None,None,Unknown,Unknown,Blue,
,,,,43,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,None,Nugz,None,Black Sunglasses,None,Green TurtleNeck,None,None,None,None,Unknown,Unknown,Red,
,,,,44,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Purple Hair,Dark Blue Eyes,Regular,Grey Beard,Nugz,Purple Beanie,None,Blue Vape,None,None,None,None,None,Unknown,Unknown,Blue,
,,,,45,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Black Eyes,Regular,None,Nugz,Blue Cap,None,Green Vape,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,46,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,Brown Beard,Nugz,None,Black & Green Sunglasses,B,Green TurtleNeck,None,None,None,None,Unknown,Unknown,Green,
,,,,47,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Blond Hair,,Regular,None,Nugz,Mac Hat,Black Sunglasses,Cigg,None,None,None,None,None,Unknown,Unknown,Red,
,,,,48,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Black Eyes,Regular,None,Nugz,None,None,None,Purple TurtleNeck,None,None,None,None,Unknown,Unknown,Yellow,
,,,,49,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Black Hair,Brown Eyes,Regular,None,Nugz,None,Red Dot Eye-Patch,Pink Vape,Purple TurtleNeck,None,None,None,None,Unknown,Unknown,Red,
,,,,50,The Fro'Zen,Leader of Nugz,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,Brown Beard,Nugz,,White & Green Sunglasses,Cigg,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,51,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Fuzzy Grey Hair,,Regular,None,Nugz,None,Black Sunglasses,Blue Vape,None,None,None,None,None,Unknown,Unknown,Red,
,,,,52,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Fuzzy Brown Hair,,Regular,Black Beard,Nugz,None,Black & Green Sunglasses,None,None,None,None,None,None,Unknown,Unknown,Blue,
,,,,53,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Grey Hair,Black Eyes,Regular,None,Nugz,None,None,Blue Vape,Black TurtleNeck,Teal Mech-Eye,None,None,None,Unknown,Unknown,Green,
,,,,54,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,None,Nugz,Brown Cowboy Hat,Orange Round Sunglasses,Green Vape,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Red,
,,,,55,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Dark Blue Eyes,Regular,Brown Beard,Nugz,Mac Hat,None,Cigg,Blue TurtleNeck,None,None,None,None,Unknown,Unknown,Yellow,
,,,,56,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,Black Beard,Nugz,None,FAT VR Goggles,Pipe,Pink Hoodie,None,None,None,None,Unknown,Unknown,Yellow,
,,,,57,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Grey Hair,Dark Blue Eyes,Regular,None,Nugz,None,None,Green Vape,Green TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,58,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Black Eyes,Regular,None,Nugz,Brown Cowboy Hat,None,None,None,None,None,None,None,Unknown,Unknown,Blue,
,,,,59,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,None,Nugz,Black Beanie,Black & Red Sunglasses,None,None,None,None,None,None,Unknown,Unknown,Yellow,
,,,,60,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,Black Beard,Nugz,Brown Cowboy Hat,Black & Green Sunglasses,None,None,None,None,None,None,Unknown,Unknown,Blue,
,,,,61,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,None,Nugz,Grey Cap,FAT VR Goggles,None,None,None,None,None,None,Unknown,Unknown,White,
,,,,62,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Fuzzy Brown Hair,Brown Eyes,Regular,None,Nugz,None,Black Eye-Patch,Cigg,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Green,
,,,,63,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,None,Nugz,Green Beanie,Black & Red Sunglasses,Pipe,None,None,None,None,None,Unknown,Unknown,Green,
,,,,64,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Black Eyes,Regular,None,Nugz,Black Beanie,None,None,None,None,None,None,None,Unknown,Unknown,Red,
,,,,65,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,None,Nugz,Black Cowboy Hat,Black & Green Sunglasses,Pink Vape,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Red,
,,,,66,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Blond Hair,Alien Eyes,Drooling,None,Nugz,None,None,Drool,None,None,None,None,None,Unknown,Unknown,Blue,
,,,,67,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,None,Nugz,Chef Hat,FAT VR Goggles,Pink Vape,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,68,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,None,Nugz,Green Beanie,White & Pink Sunglasses,None,None,None,None,None,None,Unknown,Unknown,Blue,
,,,,69,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,Brown Beard,Nugz,Mac Hat,White & Green Sunglasses,Blue Vape,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,70,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,Brown Beard,Nugz,Mac Hat,White & Green Sunglasses,Pipe,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,71,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Blond Hair,,Regular,None,Nugz,None,Red Round Sunglasses,None,Blue TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,72,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,None,Nugz,Chef Hat,Black & Blue Sunglasses,Pink Vape,None,None,None,None,None,Unknown,Unknown,Green,
,,,,73,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Dark Blue Eyes,Regular,Black Beard,Nugz,Brown Cowboy Hat,None,Pipe,Purple TurtleNeck,None,None,None,None,Unknown,Unknown,Yellow,
,,,,74,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Fuzzy Brown Hair,,Regular,None,Nugz,None,YUGE Glasses,None,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Green,
,,,,75,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,None,Nugz,Brown Cowboy Hat,Black & Red Sunglasses,Cigg,Blue TurtleNeck,None,None,None,None,Unknown,Unknown,Green,
,,,,76,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Black Eyes,Regular,None,Nugz,None,None,None,Purple Hoodie,None,None,None,None,Unknown,Unknown,Yellow,
,,,,77,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,Brown Beard,Nugz,Purple Beanie,White & Blue Sunglasses,Blue Vape,Green TurtleNeck,None,None,None,None,Unknown,Unknown,Yellow,
,,,,78,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Grey Hair,,Regular,None,Nugz,None,FAT VR Goggles,Cigg,None,None,None,None,None,Unknown,Unknown,Blue,
,,,,79,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,None,,Regular,None,Nugz,None,White & Blue Sunglasses,Blue Vape,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Yellow,
,,,,80,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,None,Alien Eyes,Drooling,Grey Beard,Nugz,None,None,Drool,None,None,None,None,None,Unknown,Unknown,Blue,
,,,,81,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Fuzzy Brown Hair,,Regular,None,Nugz,None,Black Sunglasses,Blue Vape,Blue TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,82,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Black Hair,Black Eyes,Regular,None,Nugz,None,None,Pipe,Green TurtleNeck,Yellow Mech-Eye,None,None,None,Unknown,Unknown,Blue,
,,,,83,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Black Hair,,Regular,None,Nugz,Purple Beanie,Orange Round Sunglasses,Pink Vape,Blue TurtleNeck,None,None,None,None,Unknown,Unknown,White,
,,,,84,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,None,Nugz,Purple Beanie,Black & Purple Sunglasses,None,None,None,None,None,None,Unknown,Unknown,White,
,,,,85,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Gagged,None,Nugz,None,Black & Blue Sunglasses,Ball-Gag,None,None,None,None,None,Unknown,Unknown,Yellow,
,,,,86,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Dark Blue Eyes,Regular,None,Nugz,Purple Beanie,None,Blue Vape,None,None,None,None,None,Unknown,Unknown,Blue,
,,,,87,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,Brown Beard,Nugz,Grey Cap,Black Sunglasses,Pink Vape,None,None,None,None,None,Unknown,Unknown,Green,
,,,,88,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Black Eyes,Regular,None,Nugz,Cowboy Mac hat,None,Blue Vape,None,None,None,None,None,Unknown,Unknown,Blue,
,,,,89,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,None,Third Eye,Drooling,Black Beard,Nugz,None,White & Green Sunglasses,Drool,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,90,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,None,Nugz,Blue Cap,Green Lazer Goggles,Blue Vape,None,None,None,None,None,Unknown,Unknown,Red,
,,,,91,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Black Eyes,Regular,Brown Beard,Nugz,Blue Cap,None,Blue Vape,None,None,None,None,None,Unknown,Unknown,Red,
,,,,92,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Black Hair,,Regular,None,Nugz,None,Black & Red Sunglasses,Blue Vape,Green TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,93,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,None,Nugz,Cowboy Mac hat,Black Sunglasses,None,Green TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,94,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,None,Black Eyes,Regular,None,Nugz,Brazil Head-Band,None,Pink Vape,None,None,None,None,None,Unknown,Unknown,White,
,,,,95,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,None,Nugz,None,Black Sunglasses,None,White Hoodie,None,None,None,None,Unknown,Unknown,Yellow,
,,,,96,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Fuzzy Grey Hair,,Regular,None,Nugz,None,Black & Green Sunglasses,Cigg,None,None,None,None,None,Unknown,Unknown,Red,
,,,,97,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,None,Dark Blue Eyes,Regular,None,Nugz,Sweden Head-Band,Orange Turtle Ninja Mask,Blue Vape,None,None,None,None,None,Unknown,Unknown,Red,
,,,,98,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Black Eyes,Regular,None,Nugz,Grey Cap,Red Dot Eye-Patch,Cigg,None,None,None,None,None,Unknown,Unknown,Green,
,,,,99,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Dark Blue Eyes,Regular,Grey Beard,Nugz,None,Black Eye-Patch,None,White Hoodie,None,None,None,None,Unknown,Unknown,Blue,
,,,,100,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,None,Nugz,Black Beanie,Black & Green Sunglasses,Cigg,None,None,None,None,None,Unknown,Unknown,Green,
,,,,101,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Dark Blue Eyes,Regular,None,Nugz,None,None,Cigg,White Hoodie,None,None,None,None,Unknown,Unknown,White,
,,,,102,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Brown Eyes,Drooling,Brown Beard,Nugz,Green Beanie,None,Drool,Blue TurtleNeck,None,None,None,None,Unknown,Unknown,White,
,,,,103,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Purple Hair,,Regular,None,Nugz,None,Black & Purple Sunglasses,Blue Vape,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Green,
,,,,104,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Pink Hair,,Regular,None,Nugz,None,White & Green Sunglasses,None,None,None,None,None,None,Unknown,Unknown,Green,
,,,,105,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,None,Brown Eyes,Regular,Black Beard,Nugz,Rasta Head-Band,None,Pipe,Purple TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,106,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,None,Nugz,Black Cowboy Hat,Orange Round Sunglasses,Blue Vape,None,None,None,None,None,Unknown,Unknown,Green,
,,,,107,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Pink Hair,,Regular,None,Nugz,None,Red Round Sunglasses,Cigg,None,None,None,None,None,Unknown,Unknown,Blue,
,,,,108,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,None,Nugz,Grey Cap,Black & Red Sunglasses,Cigg,None,None,None,None,None,Unknown,Unknown,Green,
,,,,109,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Black Eyes,Regular,None,Nugz,Blue Cap,None,Pipe,Purple TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,110,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Blond Saiyan Hair,,Regular,Brown Beard,Nugz,None,Black & Green Sunglasses,Blue Vape,None,None,None,None,None,Unknown,Unknown,Blue,
,,,,111,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,None,,Regular,Brown Beard,Nugz,Germany Head-Band,Black & Blue Sunglasses,None,Purple TurtleNeck,None,None,None,None,Unknown,Unknown,Green,
,,,,112,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Dark Blue Eyes,Regular,None,Nugz,Black Cowboy Hat,Orange Turtle Ninja Mask,None,None,None,None,None,None,Unknown,Unknown,White,
,,,,113,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,,Regular,Black Beard,Nugz,Chef Hat,Black & Green Sunglasses,Pipe,Black TurtleNeck,None,None,None,None,Unknown,Unknown,White,
,,,,114,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Black Hair,,Regular,None,Nugz,None,Black & Purple Sunglasses,Blue Vape,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,115,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Brown Hair,,Regular,Black Beard,Nugz,None,Green Lazer Goggles,Pipe,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Red,
,,,,116,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Grey Hair,Dark Blue Eyes,Regular,None,Nugz,None,Blue Ninja Turtle Mask,Cigg,Green TurtleNeck,None,None,None,None,Unknown,Unknown,Red,
,,,,117,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,None,Black Eyes,Regular,Black Beard,Nugz,Germany Head-Band,None,Blue Vape,Blue TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
,,,,118,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Black Hair,,Drooling,None,Nugz,None,Red Round Sunglasses,Drool,Black TurtleNeck,None,None,None,None,Unknown,Unknown,Green,
,,,,119,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Short Black Hair,Brown Eyes,Regular,None,Nugz,None,None,Cigg,None,None,None,None,None,Unknown,Unknown,Blue,
,,,,120,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,Fuzzy Grey Hair,,Regular,Brown Beard,Nugz,None,Red Round Sunglasses,Cigg,Blue TurtleNeck,None,None,None,None,Unknown,Unknown,Yellow,
,,,,121,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,None,,Regular,None,Nugz,France Head-Band,Red Round Sunglasses,None,None,None,None,None,None,Unknown,Unknown,Green,
,,,,122,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,None,Brown Eyes,Regular,None,Nugz,France Head-Band,Kill Bill Eye-Patch,Blue Vape,None,None,None,None,None,Unknown,Unknown,Red,
,,,,123,,,,Genesis,1,None,Standard,Nugz,Citizen,Elder,Ally,,Dark Blue Eyes,Regular,Black Beard,Nugz,Blue Cap,Black Eye-Patch,Cigg,Green TurtleNeck,None,None,None,None,Unknown,Unknown,Blue,
